#delta n_PS_dimer n_PS_topo
0.01 0.5000001693734148 0.5002021518032191
0.0125 0.5000002647688263 0.5002052479174536
0.015 0.5000003814837535 0.5002656672950652
0.0175 0.5000005195910403 0.5002672193626105
0.02 0.500000679177256 0.5003244293884227
0.0225 0.5000017207255936 0.5003895662245976
0.025 0.5000021264549073 0.5003783653503948
0.027500000000000004 0.5000025758325718 0.5004243841854628
0.03 0.5000030691473271 0.5004846808590608
0.0325 0.500003606718718 0.5004702735739767
0.035 0.5000041888980601 0.5005082843115467
0.0375 0.5000048160695183 0.5004906911360885
0.04 0.5000058278539147 0.5005207292557462
0.0425 0.5000065913021119 0.5005443975674199
0.045000000000000005 0.5000074041667469 0.5005220324722344
0.0475 0.50000826704197 0.5005377454375748
0.05 0.5000091805678972 0.5005122133582358
0.052500000000000005 0.5000101454330068 0.5005231542672988
0.055 0.5000118788665641 0.5005261596861743
0.0575 0.5000130192722789 0.5004943038899584
0.060000000000000005 0.5000142173323754 0.5004878053347517
0.0625 0.5000154740836548 0.5004813071782733
0.065 0.5000167906386576 0.5004431556814368
0.0675 0.5000193850368919 0.5003765489938784
0.06999999999999999 0.5000209258896724 0.5003495263246404
0.0725 0.5000112675114232 0.5003193588577652
0.075 0.5000129533813922 0.5002686664718835
0.0775 0.5000138950787932 0.5001706170034916
0.08 0.5000159616529894 0.5001168588029691
0.08249999999999999 0.5 0.5000584063152314
