#delta n_first_order
0.001 0.5000000461219802
0.002 0.5000001941399346
0.003 0.5000004461483162
0.004 0.5000007987220436
0.005 0.5000012480962431
0.006 0.5000017912070107
0.007 0.500002438294449
0.008 0.5000031630072431
0.009000000000000001 0.5000039897611069
0.010000000000000002 0.5000049091423538
0.011 0.5000058993170896
0.012 0.5000069971545646
0.013000000000000001 0.5000081552887101
0.014000000000000002 0.5000093926513145
0.015 0.5000107072926736
0.016 0.5000120972700902
0.017 0.5000135606475671
0.018000000000000002 0.5000150954955003
0.019000000000000003 0.5000166998903769
0.02 0.5000183028576751
0.021 0.5000200335129341
0.022000000000000002 0.5000217440632383
0.023 0.5000235919568842
0.024 0.500025399693492
0.025 0.500027247898288
0.026000000000000002 0.5000292503845061
0.027000000000000003 0.5000311798731837
0.028 0.500033141362752
0.029 0.5000351319152397
0.030000000000000002 0.5000371485920904
0.031 0.5000391884536411
0.032 0.5000410715384238
0.033 0.5000431376635378
0.034 0.5000452177870699
0.035 0.5000500098526917
0.036000000000000004 0.5000522271666993
0.037000000000000005 0.5000544497230031
0.038 0.5000564087956747
0.039 0.500058618140752
0.04 0.5000605284232179
0.041 0.5000624009093609
0.042 0.5000642312654742
0.043000000000000003 0.5000663558149256
0.044000000000000004 0.5000681050237727
0.045 0.5000697993978664
0.046 0.5000714345381427
0.047 0.500073006026224
0.048 0.5000745094233539
0.049 0.5000759402693112
0.05 0.5000822438864712
0.051000000000000004 0.500083089276804
0.052000000000000005 0.5000843348221399
0.053000000000000005 0.5000854837270856
0.054 0.5000865311027446
0.055 0.5000868747484863
0.056 0.500087681862086
0.057 0.5000877296334946
0.058 0.5000882747173033
0.059000000000000004 0.5000880028728775
0.060000000000000005 0.5000882638195014
0.061 0.5000934773826256
0.062 0.5000926206705626
0.063 0.5000923922241775
0.064 0.5000911290645025
0.065 0.5000896383638938
0.066 0.500087912752634
0.067 0.500086901203578
0.068 0.5000847132988463
0.069 0.5000822684143506
0.07 0.5000795588410095
0.07100000000000001 0.5000818924180218
0.07200000000000001 0.5000784113537974
0.07300000000000001 0.5000746213197484
0.074 0.5000705135147379
0.075 0.5000647826779349
0.076 0.5000599753834473
0.077 0.5000548224696599
0.078 0.5000493145770551
0.079 0.5000466016209721
0.08 0.5000383099612398
0.081 0.5000311574201665
0.082 0.5000218950004641
0.083 0.5000138349698583
0.084 0.5000035505792614
